question,answer
Dok saya mau tanya Anak saya kan kenak fimosis terus d kasih obat zincpro zinc sulphate drops 10mg/ml katanya buat vitamin untuk memperlancar BAKnya. La terus tak baca kok malah obat itu buat anak diare ya dok. Pdahal anak saya kmaren sebelum priksa 4 hari tidak bAB,"Hai Yevie, Terima kasih atas pertanyaannya. Zinc Sulphate  merupakan salah satu mineral yang dibutuhkan oleh tubuh, bermanfaat untuk membantu penyembuhan luka, memperkuat sistem kekebalan tubuh, membantu pertumbuhan sel, dan manfaat-manfaat lainnya. Jadi sebenarnya fungsi zinc sulfat tidak hanya untuk diare, melainkan juga dapat diberikan pada kondisi anak Ibu saat ini, sesuai dengan resep Dokter.  Diare pada balita dapat mengakibatkan kekurangan berbagai nutrisi, menurunnya daya tahan tubuh terhadap infeksi, dan gangguan tumbuh kembang. Suplemen zinc merupakan salah satu cara yang dimanfaatkan untuk membantu mengatasi diare pada balita, bersama dengan pemberian cairan untuk rehidrasi. Suplemen tersebut juga diketahui mampu mencegah terulangnya diare pada anak.  Asupan zinc biasanya dapat kita peroleh dari makanan, misalnya daging sapi, daging domba, daging ayam, kacang-kacangan, serta sereal biji-bijian utuh. Jumlah zinc yang dibutuhkan oleh tubuh tidaklah banyak. Disamping mengonsumsi obat yang diresepkan Dokter, tetaplah berikan anak makanan kaya nutrisi (makanan sesuai usianya) untuk membantu mempercepat proses pemulihan. Sekian semoga bermanfaat, dr. Annes"
"siang dokter.... dokter sayang ingin bertanya perbedaan serta khasiatnya bagi kesehatan tubuh manusia.... apakah berbeda antara zinc sulphate dan zinc lactate serta apa masing masing manfaat dan efek samping kedua mineral tersebut jika di konsumsi berlebihan, terutama bagi zinc lactate ???? sekian dan terima kasih ya dokter ????","Halo Pendys, Zinc  merupakan salah satu mineral yang dibutuhkan tubuh. Tubuh manusia mengandung 2-3 gram zinc yang terutama ada di dalam otot rangka dan tulang. Zinc juga dapat ditermukan di ginjal, pankreas, retina, gigi, rambut, kulit, hati, sel darah, prostat, dan testis. Zinc dapat ditemukan pada makanan seperti daging sapi, daging babi, kerang, kacang tanah, dan kacang polong.  Zinc telah terbukti efektif untuk mengatasi diare, tukak lambung, dan defisiensi zinc sendiri. Penelitian menunjukkan kegunaan zinc untuk jerawat,  attention deficit hyperactivity disorder  (ADHD), infeksi herpes simpleks, menjaga fungsi kekebalan tubuh, dan anemia sel sabit. Zinc juga disebut dapat mencegah flu, namun hasil penelitian yang ada masih belum jelas. Suplemen zinc tersedia dalam berbagai bentuk: Zinc acetate Zinc lactate Zinc sulphate Zinc picolinate Zinc glycerate Zinc monomethionine Zinc gluconate Zinc oxide Alasan untuk adanya perbedaan formula kimia ini adalah karena zinc saja tidak mudah diserap oleh tubuh kita. Untuk mengoptimalkan penyerapannya zinc dikhelasi ( chelated ) menjadi asam amino seperti zinc picolinate atau dibuat dalam bentuk anorganik seperti zinc sulphate atau zinc oxide. Perbedaan sediaan suplemen tersebut adalah pada cara dan tingkat penyerapan dalam tubuh. Zinc sulphate  dapat digunakan untuk mengobati jerawat, defisiensi zinc, kerontokan rambut, sariawan, luka bakar, diabetes neuropati, demensia, mencegah flu, dan lainnya. Efek samping suplemen ini adalah mual, muntah, dan nyeri perut. Di sisi lain,  zinc lactate  digunakan untukmengobati defisiensi zinc, diare, luka bakar, defisiensi vitamin B kompleks, suplemen untuk wanita hamil dan menyusui, dan sebagainnya. Efek samping dari suplemen ini sama dengan zinc sulphate. Konsumsi berlebihan dapat menyebabkan penurunan tekanan darah, muntah, sakit kuning, gagal ginjal akut, dan edema paru (atau penumpukan cairan dalam paru-paru). Semoga informasi ini berguna.  dr. Aloisia"
"Malam dok, saya baru menemukan suplemen zinc saya yg sudah lama, dan sudah kadaluarsa setahun yang lalu namun suplemen tersebut belum dibuka/msh segel. Jd apakah saya bisa mengkonsumsi zinc tersebut ataukah saya buang saja dok ? Terima kasih.","Hai IriSh, Terimakasih telah bertanya ke Alodokter.   Zinc (zinc sulfat)  memiliki beragam manfaat bagi kesehatan, di antaranya untuk membantu penyembuhan luka, memperbaiki fungsi indera pengecap dan penciuman, menguatkan daya tahan tubuh, mengoptimalisasi pertumbuhan dan proliferasi sel, mengurai karbohidrat, mencegah gagal tumbuh, menjaga kesuburan, mengoptimalisasi pertumbuhan, dan sebagainya. Zink juga kerap digunakan sebagai terapi tambahan pada penderita gangguan pola makan, gangguan mental (seperti depresi, gangguan obsesif kompulsif), mulut kering, demensia, autisme, gangguan hati, radang usus, sariawan, tukak lambung, osteoporosis, kista ovarium, rheumatoid arthritis, kutil, psoriasis, dan sebagainya. Perlu diperjelas, untuk alasan apa Anda mengkonsumsi suplemen zinc tersebut? Apakah Anda sudah mengkonsultasikannya ke dokter? Masa kadaluwarsa obat secara tidak langsung menggambarkan sampai kapan obat tersebut layak untuk dikonsumsi. Apabila suplemen yang Anda dapatkan tersebut sudah lewat masa kasaluwarsanya cukup lama, meski kondisi suplemennya masih tampak baik dan belum dibuka segelnya, sebaiknya Anda tidak mengkonsumsinya. Konsumsi obat atau suplemen yang telah kadaluwarsa sangat berisiko menyebabkan Anda mengalami gangguan kesehatan, seperti gangguan pencernaan, keracunan, alergi, dan sebagainya. Jadi, sebaiknya dibuang saja ya.. Untuk memenuhi kebutuhan zinc, tidak harus dari suplemen, Anda bisa juga mengkonsumsi beragam jenis sumber pangan alami yang kaya akan zinc, contohnya daging sapi, daging domba, daging ayam, kacang-kacangan, dan biji-bijian utuh. Semoga membantu ya.."
"Dear dokter, Umur saya 24 tahun dan baru menikah selama dua bulan, keadaan saat ini saya belum hamil dan berencana untuk promil sebulan kemudian. Karna saya ingin menuntaskan dulu masalah jerawat yang ada diwajah saya. Saya berencana untuk mengkonsumsi obat oral, yaitu blackmores bio zinc, dimana zinc baik untuk mengobati jerawat. Apakah suplemen oral tersebut berbahaya untuk yg sdg promil atau hamil ? Terimakasih atas jawabanya dokter.","Selamat pagi, terimakasih atas pertanyaannya Suplementasi zinc menurut penelitian tidak menimbulkan dampak yang negatif selama kehamilan. Meskipun manfaatnya secara luas selama kehamilan belum banyak di teliti namun terdapat penelitian yang menyatakan bahwa dapat menurunkan risiko kelahiran prematur sebesar 14%. Kegunaan suplementasi zinc untuk menurunkan kelahiran prematur kemungkinan karena zinc dapat mencegah infeksi pada ibu hamil yang diketahui merupakan faktor risiko elahiran prematur. Saat ini sudah direkomendasikan pemberian suplementasi mikronutrien meliputi zat besi, zinc, serta asam folat pada wanita yang hamil dan merencanakan kehamilan. Untuk ibu hamil diperlukan dosis zinc sebesar 10-15 miligram perharinya yang dapat diperoleh dari bahan makanan (kerang, unggas, , kacang-kacangan, biji-bijian, dan produk susu) ataupun suplementasi. Sekian, semoga dapat membantu Wassalam"
Sakit flu tak kunjung sembuh disebabkan karena kekurangan Zinc dalam tubuh.pertanyaan saya obat/suplemen apakah yang byk mengandung Zinc?,"Selamat malam, terimakasih atas pertanyaannya Meskipun tubuh manusia tidak membutuhkan zinc dalam jumlah yang banyak di dalam tubuh, namun dimungkinkan individi mengalami kekurangan zat mikronutrien zinc. Zinc berguna untuk meningkatkan sistem imun tubuh, membantu pembelahan sel, mempercepat penyembuhan luka, dan lain sebagainya. Jika tubuh mengalami kekurang zinc maka dapat muncul gejala seperti nafsu makan menurun, imuntas menurun, serta gangguan pertumbuhan. Untuk mendiagnosis kekurangan zinc adalah cukup sulit dilakukan karena zinc dalam kondisi normal hanya terkandung sedikit sekali didalam darah sehingga sulit untuk terdeteksi melalui pemeriksaan. Konsumsi suplemen dapat membantu mengatasi gejala pada kecurigaan kekurangan zinc. Sat ini banyak suplemen yang dijual secara bebas di toko farmasi dan kesehatan. Suplemen tersebut dapat mengandung zinc elemental yang berbeda yang dapat dikenali sebagai zinc gluconate, zinc sulfate, or zinc acetate. Anda dapat mengonsumsi suplemen jenis apa saja yang mengandung zinc elemental diatas. Selain itu asupan zinc juga bisa didapatkan dari bahan makanan, misalnya tiram, daging, susu, yogurt, oatmeal, sereal, atau buncis. Sekian, semoga dapat membantu Wassalam."
"Dear dr. ,   Saya sedang sakit maag dan sudah ke dokter, salah satu obat yang diberikan kepada saya adalah zink dispersibel. Namun setiap minum obat tersebut saya muntah dan merasakan tenggorokan sakit sekali seperti terbakar, bahkan jadi susah bernafas. Apakah itu masih tidak apa-apa ? bisakah saya hentikan meminum obat tersebut ? Mohon jawabannya dok, terima kasih.","Hai Triana. Zinc dispersibel merupakan salah satu obat yang sesuai namanya berisi mineral bernama zinc. Zinc ini berfungsi untuk penyembuhan luka, sistem kekebalan tubuh serta berperan dalam indera perasa dan penciuman. Mineral ini lazim ditemukan dalam makanan sehari-hari seperti kacang, daging merah, tiram, unggas, sereal, dan produk susu. Oleh karena penyerapan mineral ini sangat bergantung pada kondisi usus, maka suplementasi zinc diperlukan terutama dalam kondisi diare berat. Selain itu kondisi lain yang mempengaruhi seperti penyakit hati kronis (sirosis hati), setelah operasi besar, alkohol. Selain kondisi tersebut, jarang dibutuhkan suplementasi zinc mengingat resiko yang tidak menguntungkan jika diberikan berlebihan seperti mual, muntah, indera pengecapan seperti rasa logam, gangguan lambung. Selain itu, konsumsi zinc sendiri dapat menyebabkan sakit perut, mual muntah, nyeri kepala, dan uring-uringan. Hindari penggunaan suplementasi zinc bersamaan dengan suplementasi lain. Konsultasikan dengan dokter mengenai kondisi anda untuk menilai kelangsungan pengobatan anda. Jika memang gejala yang anda rasakan sangat mengganggu, anda dapat mempertimbangkan untuk dihentikan lalu segera konsultasi dengan dokter. Berikut artikel tentang suplementasi  zinc . Semoga bermanfaat dan terima kasih. Salam, dr Alyssa. "
Dok...saya punya riwayat asam lambung...boleh gag konsumsi zinc?,"Alo Weli, Terimakasih atas pertanyaannya. Zink  (seng) adalah mineral yang dibutuhkan tubuh untuk mempercepat penyembuhan luka, meningkatkan fungsi indera perasa dan indera penciuman, meningkatkan daya tahan tubuh, membantu pertumbuhan sel, sekaligus mengurai karbohidrat. Orang yang mengalami diare berat, mengalami gangguan usus sehingga menyebabkan penyerapan zink terganggu, atau habis menjalani operasi besar berisiko mengalami kekurangan zink sehingga memerlukan asupan suplemen zink tambahan. Namun, meski termasuk obat bebas, Anda tidak disarankan mengkonsumsi suplemen zink sembarangan, terlebih dalam jangka panjang, tanpa saran dokter ya.. Orang yang memiliki riwayat mengalami penyakit asam lambung (dispepsia) tidak dilarang mengkonsumsi zink. Konsumsi suplemen ini perlu dilakukan dengan sangat hati-hati pada kondisi khusus, seperti ibu hamil, ibu menyusui, anak-anak, penderita gangguan ginjal, atau juga orang dengan riwayat alergi terhadap zink. Baiknya, sebelum mengkonsumsi suplemen zink, Anda periksakan dulu diri Anda ke dokter ya.. Sebelum itu, Anda bisa penuhi kebutuhan zink dengan lebih banyak mengkonsumsi daging sapi, kambing, ayam, kacang-kacangan, biji-bijian utuh, dan sereal yang telah terfortifikasi. Semoga membantu ya.."
"Pagi, Dok...Saya mendapat informasi dari terapis herbal, bahwa kapsul zinc untuk anak lebih baik diminum dengan dibuka dan serbuknya di taburkan di bawah lidah.. apakah benar? dan untuk apa fungsinya?","Alo Marusli, Zinc  merupakan salah satu mineral yang dibutuhkan oleh tubuh. Suplemen zinc bermanfaat untuk pemulihan diare, membantu penyembuhan luka, memperkuat sistem kekebalan tubuh, membantu pertumbuhan sel, dan mengurai karbohidrat. Untuk dosis zinc disesuaikan dengan usia dan berat badan. Suplemen zinc tersedia dalam beberapa bentuk sediaan, beberapa sediaan oral zinc diantaranya adalah tablet, sirup, dan kapsul. Untuk sediaan kapsul sebaiknya ditelan seluruhnya. Apabila anak belum bisa menelan kapsul, lebih baik gunakan sediaan sirup atau tablet. Zinc talet bisa dilaurkan dalam air matang. Sedangkan zinc sirup lebih mudah penggunaannya karena hanya diberikan seperti obat sirup biasa. Berapa usia anak Anda dan berapa berat badannya? Pastikan Anda memberikan suplemen zinc sesuai dengan aturan dosis pemakaian di kemasan suplemen. Bila Anda ragu, akan lebih baik bila Anda berkonsultasi dengan dokter secara langsung dan bawalah anak Anda agar dpokter bisa memberikan dosis yang lebih tepat. Semoga bisa membantu Anda, Terimakasih"
"Mlm dok, sy ingin konsul anak saya usia nya 1 bulan. beberapa hari ini anak sy (maaf) ceperit terus.warna bab kuning terang terkadang encer cepirit sehari smpai 15/20 kali.apakah obat zinc aman utk bayi 1 bulan? Atau adakah obat diare yang aman utk usia bayi sya saat ini?? Thanks dok..","Halo Hani, Zink  merupakan mineral yang juga dapat ditemukan pada ASI. Suplementasi Zink yang diberikan 1 hari sekali selama 10-14 hari terbukti dapat menurunkan angka kejadian  diare , durasi diare, dan tingkat keparahan diare pada anak-anak. Badan kesehatan dunia WHO, menyarankan dosis pemberian zink 20 mg untuk anak \u0026gt"
"Hallo dok,saya mau bertanya saya menemukan serum yang ada kandungan zinc 1%.apakah itu terlalu keras jika di aplikasikan ke wajah?Terimakasih dok.","Alo Viviana, Zinc topikal memiliki berbagai khasiat untuk kulit yakni sebagai anti peradangan, anti bakteri, pelindung bagian lemak dan fibroblas kulit, membantu penyembuhan luka kulit. Oleh karena sifat-sifatnya tersebut, zinc topikal banyak dimanfaat dalam terapi jerawat, dermatitis seboroik, rosasea, dan kelainan kulit lainnya. Zinc tersedia dalam berbagai bentuk dalam suatu produk perawatan wajah, ada yang berbentuk zinc oxide, zinc sulphate, zinc gluconate, dengan persentase yang bervariasi tergantung digunakan untuk pengobatan apa. Zinc 1% adalah kandungan yang wajar dan aman untuk suatu produk perawatan wajah. Kasus-kasus seperti jerawat ringan-sedang biasanya efektif ditangani dengan pemberian zinc topikal 5%. Bahkan untuk kasus lain seperti kutil dan panu, persentase zinc topikal yang digunakan lebih tinggi. Tentunya hal ini juga perlu disesuaikan apabila ada kandungan lain di dalam suatu produk perawatan wajah tersebut dan kondisi wajah Anda. Jika kulit Anda sensitif terhadap produk-produk kulit tertentu ada baiknya mencoba mengaplikasikan produk ke sebagai kecil kulit terlebih dahulu untuk melihat reaksinya. Demikian penjelasan dari saya, semoga bermanfaat."
